date,initiated_volume,proved_volume,finalized_volume,deposited_volume,daily_difference,cumulative_initiated,cumulative_proved,cumulative_finalized,cumulative_deposited
2023-07-11,0.3703703670370371,0.0,0.0,0.75,0.3796296329629629,0.3703703670370371,0.0,0.0,0.75
2023-07-12,0.0234567890123457,0.0234567890123457,0.0234567890123457,0.0,-0.0234567890123457,0.3938271560493828,0.0234567890123457,0.0234567890123457,0.75
2023-07-27,2.2724999999999813,0.0,0.0,145.78983451389962,143.51733451389964,2.666327156049364,0.0234567890123457,0.0234567890123457,146.53983451389962
2023-07-28,15.614599999999355,0.0,0.0,211.95323832172377,196.33863832172443,18.28092715604872,0.0234567890123457,0.0234567890123457,358.49307283562337
2023-07-30,2451.510514644773,947.7559999987575,462.31999999972453,166702.27508897873,164250.76457433397,2469.7914418008218,947.7794567877698,462.3434567887369,167060.76816181434
2023-07-31,1214252.2537391826,1210159.2906717209,1203128.9640676097,362731.8761979184,-851520.3775412643,1216722.0451809834,1211107.0701285086,1203591.3075243984,529792.6443597327
2023-08-01,701623.9879997493,701178.4097495048,700335.7107495973,39030.14115401206,-662593.8468457372,1918346.0331807327,1912285.4798780135,1903927.0182739957,568822.7855137448
2023-08-02,19704.43387115696,18421.572776629782,18406.252751629654,56640.55825505565,36936.124383898685,1938050.4670518897,1930707.0526546433,1922333.2710256253,625463.3437688005
2023-08-03,57845471.72429338,57760001.23215694,57578898.03871059,2152802.6729946802,-55692669.0512987,59783522.191345274,59690708.284811586,59501231.309736215,2778266.016763481
2023-08-04,28087352.09407001,28002347.601218905,27942117.320646185,1796300.9190914587,-26291051.17497855,87870874.28541529,87693055.8860305,87443348.6303824,4574566.93585494
2023-08-05,7224632.670579782,7098557.885197257,7057216.271422885,1886629.2884852698,-5338003.382094512,95095506.95599507,94791613.77122775,94500564.90180528,6461196.22434021
2023-08-06,118482381.19485562,117995812.5009981,117957762.63273613,2032976.5153354097,-116449404.6795202,213577888.15085068,212787426.27222586,212458327.53454143,8494172.739675619
2023-08-07,3987187.4235550226,3932749.1755298926,3729853.2909660963,2205018.9457436716,-1782168.477811351,217565075.5744057,216720175.44775575,216188180.82550752,10699191.685419291
2023-08-08,9847738.040630033,9760151.194016045,9737139.90088301,1797512.2384393,-8050225.802190733,227412813.61503574,226480326.6417718,225925320.72639054,12496703.92385859
2023-08-09,14027071.938133694,13960585.293488353,13906236.226684496,2594524.8991141655,-11432547.039019529,241439885.55316943,240440911.93526015,239831556.95307505,15091228.822972756
2023-08-10,48870657.903833844,48655522.713879876,48606956.699743316,3914018.5503641367,-44956639.35346971,290310543.4570033,289096434.64914,288438513.6528184,19005247.373336893
2023-08-11,43176590.06562514,43004379.58934677,42819316.784946725,3383761.6482148063,-39792828.41741033,333487133.5226284,332100814.23848677,331257830.4377651,22389009.0215517
2023-08-12,1611588.5981927202,1439619.584609805,1413518.668685727,1742275.6965824403,130687.09838972008,335098722.1208211,333540433.8230966,332671349.10645086,24131284.71813414
2023-08-13,23907530.36343177,23853842.4424278,23823795.66340301,1181040.5704201716,-22726489.7930116,359006252.48425287,357394276.2655244,356495144.7698539,25312325.28855431
2023-08-14,3676492.724058992,3641203.56665094,3601741.3707968313,1358497.6821536478,-2317995.0419053445,362682745.20831186,361035479.8321753,360096886.14065075,26670822.97070796
