initiated_block_number,initiated_block_timestamp,initiated_transaction_hash,sender,target,value,initiated_withdrawal_hash,proven_block_number,proven_block_timestamp,proven_transaction_hash,proven_withdrawal_hash,finalized_block_number,finalized_block_timestamp,finalized_transaction_hash,finalized_withdrawal_hash
108194227,2023-08-14 04:27:11,0x7b9095f99bb1437b4ada4bba8a3338330c44bc28e38bb64ab52f966c3b93e991,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,136586980889801,0x9a6744781185c4cd7b22a6241c248906f30e27faf970d291bad0dd0f60044b3f,0,,,,0,,,
109224419,2023-09-07 00:46:55,0x14eff09c82b0fe2dc991840d3b9e53f10c5b41f0b6a451f36a62513a78d2bdfc,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,4000000000000000,0x0e42243c52e3ebc70e69c20f68d265776d7d1b5865c319e72bcea594f399c692,0,,,,0,,,
109205858,2023-09-06 14:28:13,0xab79114cea1d2a4b8ad5a5c45a2defee8ef673c603160d402a4a255f7ac1edd1,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,1492059120868,0x7d73f5265be185dc98161c53adb1fd4cbdb9e9b9dd4592510e1e223c38171346,0,,,,0,,,
113240353,2023-12-08 23:51:23,0xea9f46d36b102e68a3371b56d09a9b7d997e07d399b3da4bb26a3b82cc555e5c,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,370000000000000000,0x42c22e1693a13e0a842e204231f2d8a966771c7af2796f265cf35a3652c448cc,0,,,,0,,,
125302101,2024-09-13 04:49:39,0xeef8c00643e2f59b1cf051c2b51e8bb240a22a345b09529e1b5ccd283645d6b1,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,500000000000000,0x2a0b7c1686543939290bf3ec7b8b51e5268d463ce30f6867bb43f3397c46a543,0,,,,0,,,
125369693,2024-09-14 18:22:43,0x6c8c5869561959a61e6cfe2d5d6371f77aa154e1963366f40620ce5bc55ebc93,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,990000000000000,0x2b134d4a5da9b98aad48b334e9974529ac72ca3a90064b11d7b4b9288b51ed75,0,,,,0,,,
114142167,2023-12-29 20:51:51,0xa61b1b2bee9a0bb630ab3d062c4404b2403c177ca1194000dd831080584be768,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,368167001011208900,0xe2d328835b6ff378ca051c45a0f33b583bf96b4431be879e228eecc976a1d4c3,0,,,,0,,,
108510233,2023-08-21 12:00:43,0xfd38f787fe2e3bccbb5a8108a1fddd7c1eb05399e376e45a64562455670f633c,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,17000000000000000,0x8ba9bfe4f625dcb304d04c3773edc0d47199f33700e6254247efc88b67a6f5ca,0,,,,0,,,
124843197,2024-09-02 13:52:51,0x85c0daa5ba165e5e923322f89101df6f23f05fdb2499073bd7262dc1bdb1af0f,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,1000000000000000,0x32d76a92e0f2761be4b80d450def47e91bf073e27319dd8f017a3c239dca6351,0,,,,0,,,
114739197,2024-01-12 16:32:51,0xf1884c5a63dcd5ddabb9a3564974764280e227f051cb2ff47240a4a8a3492eec,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,280400000000000000,0xfacafa32c662685d6e7ac1bf16fdb38e791a1e85257da63e5c40086f5014e98c,0,,,,0,,,
114865529,2024-01-15 14:43:55,0xbbb647f38ede1c1e0a0fb6ad0f229dd15d4f3073b80d47396735e6fd54dcabe1,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,7888422462301983,0x700360cb3bfb03a64b23c28edc9830990ae9fcfd318677ede6e3679a337e400d,0,,,,0,,,
115139253,2024-01-21 22:48:03,0xb6ddb9a4de4778591aecdbcb1a073a637a8112ad65f8ed7c349c2cc286d19998,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,350000000000000000,0xf26e11cd565ae823caafe8f1a5628662e3a4da6d341b324a9a87e11602316658,0,,,,0,,,
124116998,2024-08-16 18:26:13,0x9187033e0415ce6fe849cb995d90dd62b21a1efc7623edfb465fffa24e7044bb,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,350000000000000000,0x0f6c7f9e0875c3f57642ca89b3039a3417419c477b138fbe09b959cf0d785b6b,0,,,,0,,,
110534640,2023-10-07 08:40:57,0x2c9e97f78586c26473cb8337d76cc0593f3d43df4fdec3acb1a9eacfd0075bc8,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,100000000000000000,0x7568e2e851a3bfd1e221e130f3666d7e6682f425d323fd330fa6349d32f91a75,0,,,,0,,,
114088629,2023-12-28 15:07:15,0xe747c294b9838e8a51407afaa5cec62d51d989e47732fe618fd6e6a49f8ba64d,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,60000000000000000,0x38d967b2c276fcaffdd1fd0187a7e2540ed0a11b3a94b3476d39096b40efd163,0,,,,0,,,
108477417,2023-08-20 17:46:51,0xd65846f0e7682f1ec0adabeb340c1fb00a391bd2f23aa9d659a53892e70b9541,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,1345000000000000,0xbc61580e28db306f401fc0a6c8fb51b62670549c3a4ad1dc7fdc8b7fe62b7b8f,0,,,,0,,,
105368378,2023-06-09 18:32:13,0x420d645c60734e0bcbfc5f78a13d0f3ded54d6e4ea354b7ff8d985d7351b1f44,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,2300000000000000,0xf4a18982c66c522b79605a0e5ba76781bbfeeca379ca501e14ef36a5581a5a4d,0,,,,0,,,
116189184,2024-02-15 06:05:45,0x3d2c358ecc8f76abb82800af63bb2a006832e621d5bbae7cf18e11888c59d0c6,0x4200000000000000000000000000000000000007,0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,6000000000000000,0x05d683948b6905534482d6569596b312fa3d71a21f0da54ed4efae12eb9b4c27,0,,,,0,,,
